Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-10 11:40:32,3,29 Jade Hostein,1,0,0,0,0.7777778,0.8415439
2025-10-10 11:40:52,3,27 Connie Chan,1,0,0,0,0.2345679,0.85982734
2025-10-10 11:42:25,3,06 Kylie Chesner,0,0,0,0,0.7599451,0.52513963
2025-10-10 11:47:59,6,16 Sasha Baumann,0,0,0,0,0.23731141,0.46622652
2025-10-10 12:00:39,11,05 Anna Thorn,0,0,0,0,0.21673527,0.6876587
2025-10-10 12:07:20,12,27 Connie Chan,0,0,0,0,0.32921812,0.7196546
2025-10-10 12:18:22,15,11 Letty Ho,0,0,0,0,0.3127572,0.30573896
2025-10-10 12:22:32,17,72 JJ Jarik,0,0,0,0,0.29355285,0.50787205
