Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-10 17:57:19,1,27 Connie Chan,1,0,0,0,0.8600823,0.8801422
2025-10-10 18:04:09,3,18 Kendra Griesman,0,0,0,0,0.33470505,0.7308278
2025-10-10 18:35:21,13,82 Claire Schmitt,0,0,0,0,0.3127572,0.7714576
2025-10-10 18:44:51,14,24 Anna Stubbs,0,0,0,0,0.96570647,0.77552056
2025-10-10 18:54:58,17,13 Grace Feehan,0,0,0,0,0.5706447,0.3519553
2025-10-10 19:23:28,20,17 Rufus Caitlin Duffner,0,0,0,0,0.23182446,0.7054342
2025-10-10 19:25:37,20,08 PJ Maddi Lang,1,0,0,0,0.68587106,0.9547994
